name,jobs_count,aborted_jobs_count,terminated_jobs_count,power,efficiency,overhead
EDF_VD_mono_LA_RL,91,14,63,127.22713338431448,0.6052168114753196,0.0004335308934117
EDF_VD_mono_LA_RL,151,24,103,122.21349088436112,1.039165145197987,0.0004401750731886
EDF_VD_mono_LA_RL,211,34,143,129.37148746907107,1.3681530873819123,0.0004426070622035
EDF_VD_mono_LA_RL,271,44,183,119.5686644551554,1.8984907210796609,0.0004450545687855
EDF_VD_mono_LA_RL,331,54,223,120.2861948165724,2.3028411566464846,0.0004477993375555
EDF_VD_mono_LA_RL,391,64,263,125.67112873803534,2.602029625130843,0.0004478156421596
EDF_VD_mono_LA_RL,451,74,303,120.744447010952,3.1222967956928454,0.0004494509119896
EDF_VD_mono_LA_RL,511,84,343,113.69939098876168,3.755517037397374,0.0004514763359745
EDF_VD_mono_LA_RL,571,94,383,120.28695705497206,3.965517223800144,0.000452361534493
EDF_VD_mono_LA_RL,631,104,423,124.74643619322045,4.224569583564911,0.0005571591323055
EDF_VD_mono_LA_RL,691,114,463,126.46640969416866,4.562476323913585,0.0004542573091853
EDF_VD_mono_LA_RL,751,124,503,117.95229100177762,5.31570853499192,0.0004532341827214
EDF_VD_mono_LA_RL,811,134,543,128.6484252275472,5.2624040970774,0.0004480087369787
EDF_VD_mono_LA_RL,871,144,583,125.7269623143522,5.782371470825,0.0005221883322119
EDF_VD_mono_LA_RL,931,154,623,124.5868254795844,6.236614481579549,0.0004469106124653
EDF_VD_mono_LA_RL,991,164,663,125.77211663575564,6.575384291218113,0.0004512695365324
EDF_VD_mono_LA_RL,1051,174,703,129.8239040210718,6.755304476575081,0.0005202132001533
EDF_VD_mono_LA_RL,1111,184,743,129.32149129645103,7.16818210729557,0.0004541194091108
EDF_VD_mono_LA_RL,1171,194,783,122.92691052328068,7.947812206790714,0.0005147796433878
EDF_VD_mono_LA_RL,1231,204,823,125.7897866197146,8.164414835242608,0.0004565759623746
EDF_VD_mono_LA_RL,1291,214,863,118.5712822676992,9.083143737692318,0.0005024383306321
EDF_VD_mono_LA_RL,1351,224,903,125.4106311836778,8.986478972020988,0.0004496319636561
EDF_VD_mono_LA_RL,1411,234,943,124.26931835712362,9.471364416899368,0.0004586829412741
EDF_VD_mono_LA_RL,1471,244,983,124.08317165154916,9.88852866725285,0.0005113904225114
EDF_VD_mono_LA_RL,1531,254,1023,126.96760527737004,10.057683589529,0.0004659041061007
EDF_VD_mono_LA_RL,1591,264,1063,125.4718051366794,10.57608120449425,0.0004682355160893
EDF_VD_mono_LA_RL,1651,274,1103,130.38501967278643,10.561029199947296,0.0004634098832583
EDF_VD_mono_LA_RL,1711,284,1143,131.36093158137237,10.86319945223619,0.0004601686555894
EDF_VD_mono_LA_RL,1771,294,1183,127.97062702108752,11.541711050275731,0.0005392417236788
EDF_VD_mono_LA_RL,1831,304,1223,126.55988239461132,12.06543472629694,0.0004592519525191
EDF_VD_mono_LA_RL,1891,314,1263,126.42820984325716,12.473482001802674,0.00056438799119
EDF_VD_mono_LA_RL,1951,324,1303,128.6191379754625,12.649750461788924,0.0004670857657399
EDF_VD_mono_LA_RL,2011,334,1343,129.66270878909643,12.933556730854152,0.0004687484175861
EDF_VD_mono_LA_RL,2071,344,1383,126.03723807868263,13.702299624511502,0.0004590433901545
EDF_VD_mono_LA_RL,2131,354,1423,134.5617859525163,13.205829481388289,0.0005336514410447
EDF_VD_mono_LA_RL,2191,364,1463,123.41651092898564,14.803529821477966,0.000464094919837
EDF_VD_mono_LA_RL,2251,374,1503,130.6200206792871,14.369925760528092,0.0004678663310895
EDF_VD_mono_LA_RL,2311,384,1543,117.81310013564897,16.356415354330455,0.0004753212415317
EDF_VD_mono_LA_RL,2371,394,1583,126.41655617236404,15.638774380979322,0.0004699933683458
EDF_VD_mono_LA_RL,2431,404,1623,132.4032006824934,15.30929758156529,0.0005288439738609
EDF_VD_mono_LA_RL,2491,414,1663,125.56141750860894,16.54170557494378,0.0004671209601945
EDF_VD_mono_LA_RL,2551,424,1703,126.82933077908658,16.77056866053203,0.000467889228251
EDF_VD_mono_LA_RL,2611,434,1743,129.48578574581927,16.812656211342404,0.0005212421881205
EDF_VD_mono_LA_RL,2671,444,1783,133.8058264511938,16.64352038371294,0.000527250771184
EDF_VD_mono_LA_RL,2731,454,1823,132.11857844665752,17.234517860933025,0.0005129548429532
EDF_VD_mono_LA_RL,2791,464,1863,139.26131495906503,16.709593763953805,0.0004563067401273
EDF_VD_mono_LA_RL,2851,474,1903,133.8338837141443,17.76082359738609,0.0004927062357148
EDF_VD_mono_LA_RL,2911,484,1943,126.97123500728844,19.114565593228143,0.0004694947851513
EDF_VD_mono_LA_RL,2971,494,1983,130.94876398330712,18.91579519082562,0.0004985034366149
,0,0,0,0.0,0.0,0.0
EDF_VD_mono_LA_RL,1602,0,1600,3135.617420041008,0.5109041650811627,0.0002379281322161
,0,0,0,0.0,0.0,0.0
EDF_VD_mono_new,1602,0,1600,7219.936000000102,0.2218856233628632,2.7676874110480894e-06
EDF_VD_mono_LA_RL,1602,0,1600,3135.4414534740627,0.5109328379341886,0.0002303701639175
EDF_VD_mono_LA_maxQoS,1602,0,1600,7219.936000000102,0.2218856233628632,2.592969581084576e-06
EDF_VD_mono_LA,1602,0,1600,1465.228304168368,1.0933449725496946,1.4884684519135e-05
EDF_VD_mono_LA_between_random,1602,0,1600,3673.7499769435776,0.4360666920868697,1.5558931727894232e-05
EDF_VD_mono_LA_between_uni,1602,0,1600,2245.978693624245,0.7132747984420624,5.69859122872576e-05
